ChoiceBlock.thisRepN,ChoiceBlock.thisTrialN,ChoiceBlock.thisN,ChoiceBlock.thisIndex,A_Outcome,B_Outcome,C_Outcome,D_Outcome,Instruct1_Resp.keys,Instruct1_Resp.rt,Banktext.started,Initializing_text.started,Banktext.stopped,Initializing_text.stopped,ChoiceResp.started,text.started,text_2.started,text_3.started,text_4.started,text_6.started,participant,age,sex,date,expName,psychopyVersion,frameRate,
,,,,,,,,space,0.06162383299670182,,,,,,,,,,,avery,19,,2023-09-15_14h09.11.156,IOWA_Gambling_4Choice_H,2022.2.4,None,
,,,,,,,,,,29.047268124995753,29.047268124995753,33.29823350001243,33.29823350001243,33.29823350001243,33.29823350001243,33.29823350001243,33.29823350001243,33.29823350001243,33.29823350001243,,,,,,,,
